Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,32,1,768,128,6.0,6.05,3.38,2.46,2.58,1.86,2.58,memory
IntelGaudi2B,BF16,2,32,32,1,768,128,12.0,12.11,3.38,2.46,5.16,3.72,5.16,memory
IntelGaudi2B,BF16,4,32,32,1,768,128,24.0,24.22,3.38,2.46,10.32,7.45,10.32,memory
IntelGaudi2B,BF16,8,32,32,1,768,128,48.0,48.44,3.38,2.46,20.65,14.89,20.65,memory
IntelGaudi2B,BF16,16,32,32,1,768,128,96.0,96.88,3.38,2.46,41.29,29.78,41.29,memory
IntelGaudi2B,BF16,32,32,32,1,768,128,192.0,193.75,3.38,2.46,82.59,59.56,82.59,memory
IntelGaudi2B,BF16,64,32,32,1,768,128,384.0,387.5,3.38,2.46,165.17,119.13,165.17,memory
IntelGaudi2B,BF16,128,32,32,1,768,128,768.0,775.0,3.38,2.46,330.34,238.26,330.34,memory
IntelGaudi2B,BF16,256,32,32,1,768,128,1536.0,1550.0,3.38,2.46,660.69,476.51,660.69,memory
IntelGaudi2B,BF16,512,32,32,1,768,128,3072.0,3100.0,3.38,2.46,1321.38,953.03,1321.38,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,32,1,1280,128,10.0,10.09,3.38,2.46,4.3,3.1,4.3,memory
IntelGaudi2B,BF16,2,32,32,1,1280,128,20.0,20.17,3.38,2.46,8.6,6.2,8.6,memory
IntelGaudi2B,BF16,4,32,32,1,1280,128,40.0,40.34,3.38,2.46,17.2,12.41,17.2,memory
IntelGaudi2B,BF16,8,32,32,1,1280,128,80.0,80.69,3.38,2.46,34.39,24.82,34.39,memory
IntelGaudi2B,BF16,16,32,32,1,1280,128,160.0,161.38,3.38,2.46,68.79,49.64,68.79,memory
IntelGaudi2B,BF16,32,32,32,1,1280,128,320.0,322.75,3.38,2.46,137.57,99.27,137.57,memory
IntelGaudi2B,BF16,64,32,32,1,1280,128,640.0,645.5,3.38,2.46,275.14,198.55,275.14,memory
IntelGaudi2B,BF16,128,32,32,1,1280,128,1280.0,1291.0,3.38,2.46,550.29,397.09,550.29,memory
IntelGaudi2B,BF16,256,32,32,1,1280,128,2560.0,2582.0,3.38,2.46,1100.58,794.19,1100.58,memory
IntelGaudi2B,BF16,512,32,32,1,1280,128,5120.0,5164.0,3.38,2.46,2201.16,1588.38,2201.16,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,32,1,2304,128,18.0,18.15,3.38,2.46,7.74,5.58,7.74,memory
IntelGaudi2B,BF16,2,32,32,1,2304,128,36.0,36.3,3.38,2.46,15.47,11.17,15.47,memory
IntelGaudi2B,BF16,4,32,32,1,2304,128,72.0,72.59,3.38,2.46,30.94,22.34,30.94,memory
IntelGaudi2B,BF16,8,32,32,1,2304,128,144.0,145.19,3.38,2.46,61.89,44.67,61.89,memory
IntelGaudi2B,BF16,16,32,32,1,2304,128,288.0,290.38,3.38,2.46,123.77,89.35,123.77,memory
IntelGaudi2B,BF16,32,32,32,1,2304,128,576.0,580.75,3.38,2.46,247.54,178.69,247.54,memory
IntelGaudi2B,BF16,64,32,32,1,2304,128,1152.0,1161.5,3.38,2.46,495.09,357.38,495.09,memory
IntelGaudi2B,BF16,128,32,32,1,2304,128,2304.0,2323.0,3.38,2.46,990.18,714.77,990.18,memory
IntelGaudi2B,BF16,256,32,32,1,2304,128,4608.0,4646.0,3.38,2.46,1980.36,1429.54,1980.36,memory
IntelGaudi2B,BF16,512,32,32,1,2304,128,9216.0,9292.0,3.38,2.46,3960.72,2859.08,3960.72,memory
,,,,,,,,,,,,,,,
