Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Llama2-7B,IntelGaudi2B,1,1,BF16,1,512,512,qkvo_proj,512,512,64.0,0.16,432.0,409.6,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,1,512,512,q@k_T,512,512,2.0,0.02,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,1,512,512,softmax,512,512,0.04,0.03,3.08,1.25,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,1,512,512,score@v,512,512,2.0,0.02,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,1,512,512,up(w1),512,512,43.0,0.1,432.0,437.04,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,1,512,512,down(w2),512,512,43.0,0.1,432.0,437.04,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,1,512,512,gate(w3),512,512,43.0,0.1,432.0,437.04,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,2,512,512,qkvo_proj,512,512,128.0,0.19,432.0,682.67,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,2,512,512,q@k_T,512,512,4.0,0.05,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,2,512,512,softmax,512,512,0.08,0.06,3.08,1.25,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,2,512,512,score@v,512,512,4.0,0.05,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,2,512,512,up(w1),512,512,86.0,0.11,432.0,762.46,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,2,512,512,down(w2),512,512,86.0,0.11,432.0,762.46,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,2,512,512,gate(w3),512,512,86.0,0.11,432.0,762.46,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,4,512,512,qkvo_proj,512,512,256.0,0.25,432.0,1024.0,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,4,512,512,q@k_T,512,512,8.0,0.09,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,4,512,512,softmax,512,512,0.16,0.12,3.08,1.25,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,4,512,512,score@v,512,512,8.0,0.09,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,4,512,512,up(w1),512,512,172.0,0.14,432.0,1214.68,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,4,512,512,down(w2),512,512,172.0,0.14,432.0,1214.68,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,4,512,512,gate(w3),512,512,172.0,0.14,432.0,1214.68,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,8,512,512,qkvo_proj,512,512,512.0,0.38,432.0,1365.33,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,8,512,512,q@k_T,512,512,16.0,0.19,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,8,512,512,softmax,512,512,0.31,0.25,3.08,1.25,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,8,512,512,score@v,512,512,16.0,0.19,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,8,512,512,up(w1),512,512,344.0,0.2,432.0,1726.75,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,8,512,512,down(w2),512,512,344.0,0.2,432.0,1726.75,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,8,512,512,gate(w3),512,512,344.0,0.2,432.0,1726.75,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,16,512,512,qkvo_proj,512,512,1024.0,0.62,432.0,1638.4,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,16,512,512,q@k_T,512,512,32.0,0.38,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,16,512,512,softmax,512,512,0.62,0.5,3.08,1.25,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,16,512,512,score@v,512,512,32.0,0.38,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,16,512,512,up(w1),512,512,688.0,0.31,432.0,2187.93,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,16,512,512,down(w2),512,512,688.0,0.31,432.0,2187.93,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,16,512,512,gate(w3),512,512,688.0,0.31,432.0,2187.93,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,32,512,512,qkvo_proj,512,512,2048.0,1.12,432.0,1820.44,compute
Llama2-7B,IntelGaudi2B,1,1,BF16,32,512,512,q@k_T,512,512,64.0,0.75,432.0,85.33,memory
Llama2-7B,IntelGaudi2B,1,1,BF16,32,512,512,softmax,512,512,1.25,1.0,3.08,1.25,memory
