Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,1,768,4096,14336,112.0,112.04,3.38,2.46,47.76,34.75,52.62,memory
IntelGaudi2B,BF16,2,1,768,4096,14336,224.0,112.07,6.76,2.46,47.77,34.75,52.63,memory
IntelGaudi2B,BF16,4,1,768,4096,14336,448.0,112.14,13.52,2.46,47.8,34.75,52.66,memory
IntelGaudi2B,BF16,8,1,768,4096,14336,896.0,112.28,27.04,2.46,47.86,34.75,52.72,memory
IntelGaudi2B,BF16,16,1,768,4096,14336,1792.0,112.56,54.08,2.46,47.98,34.75,52.84,memory
IntelGaudi2B,BF16,32,1,768,4096,14336,3584.0,113.12,108.16,2.46,48.22,34.75,53.08,memory
IntelGaudi2B,BF16,64,1,768,4096,14336,7168.0,114.25,216.32,2.46,48.7,34.75,53.56,memory
IntelGaudi2B,BF16,128,1,768,4096,14336,14336.0,116.5,432.0,2.46,49.66,34.8,54.53,memory
IntelGaudi2B,BF16,256,1,768,4096,14336,28672.0,121.0,432.0,2.46,51.58,69.59,80.81,compute
IntelGaudi2B,BF16,512,1,768,4096,14336,57344.0,130.0,432.0,2.46,55.41,139.19,150.06,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1,1280,4096,14336,112.0,112.04,3.38,2.46,47.76,34.75,52.62,memory
IntelGaudi2B,BF16,2,1,1280,4096,14336,224.0,112.07,6.76,2.46,47.77,34.75,52.63,memory
IntelGaudi2B,BF16,4,1,1280,4096,14336,448.0,112.14,13.52,2.46,47.8,34.75,52.66,memory
IntelGaudi2B,BF16,8,1,1280,4096,14336,896.0,112.28,27.04,2.46,47.86,34.75,52.72,memory
IntelGaudi2B,BF16,16,1,1280,4096,14336,1792.0,112.56,54.08,2.46,47.98,34.75,52.84,memory
IntelGaudi2B,BF16,32,1,1280,4096,14336,3584.0,113.12,108.16,2.46,48.22,34.75,53.08,memory
IntelGaudi2B,BF16,64,1,1280,4096,14336,7168.0,114.25,216.32,2.46,48.7,34.75,53.56,memory
IntelGaudi2B,BF16,128,1,1280,4096,14336,14336.0,116.5,432.0,2.46,49.66,34.8,54.53,memory
IntelGaudi2B,BF16,256,1,1280,4096,14336,28672.0,121.0,432.0,2.46,51.58,69.59,80.81,compute
IntelGaudi2B,BF16,512,1,1280,4096,14336,57344.0,130.0,432.0,2.46,55.41,139.19,150.06,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1,2304,4096,14336,112.0,112.04,3.38,2.46,47.76,34.75,52.62,memory
IntelGaudi2B,BF16,2,1,2304,4096,14336,224.0,112.07,6.76,2.46,47.77,34.75,52.63,memory
IntelGaudi2B,BF16,4,1,2304,4096,14336,448.0,112.14,13.52,2.46,47.8,34.75,52.66,memory
IntelGaudi2B,BF16,8,1,2304,4096,14336,896.0,112.28,27.04,2.46,47.86,34.75,52.72,memory
IntelGaudi2B,BF16,16,1,2304,4096,14336,1792.0,112.56,54.08,2.46,47.98,34.75,52.84,memory
IntelGaudi2B,BF16,32,1,2304,4096,14336,3584.0,113.12,108.16,2.46,48.22,34.75,53.08,memory
IntelGaudi2B,BF16,64,1,2304,4096,14336,7168.0,114.25,216.32,2.46,48.7,34.75,53.56,memory
IntelGaudi2B,BF16,128,1,2304,4096,14336,14336.0,116.5,432.0,2.46,49.66,34.8,54.53,memory
IntelGaudi2B,BF16,256,1,2304,4096,14336,28672.0,121.0,432.0,2.46,51.58,69.59,80.81,compute
IntelGaudi2B,BF16,512,1,2304,4096,14336,57344.0,130.0,432.0,2.46,55.41,139.19,150.06,compute
,,,,,,,,,,,,,,
