Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,512,512,5120,13824,69120.0,153.5,432.0,2.46,65.43,167.77,179.51,compute
IntelGaudi2B,BF16,2,512,512,5120,13824,138240.0,172.0,432.0,2.46,73.32,335.54,301.49,compute
IntelGaudi2B,BF16,4,512,512,5120,13824,276480.0,209.0,432.0,2.46,89.09,671.09,545.43,compute
IntelGaudi2B,BF16,8,512,512,5120,13824,552960.0,283.0,432.0,2.46,120.63,1342.18,1033.31,compute
IntelGaudi2B,BF16,16,512,512,5120,13824,1105920.0,431.0,432.0,2.46,183.71,2684.35,2009.08,compute
IntelGaudi2B,BF16,32,512,512,5120,13824,2211840.0,727.0,432.0,2.46,309.88,5368.71,3960.61,compute
IntelGaudi2B,BF16,64,512,512,5120,13824,4423680.0,1319.0,432.0,2.46,562.22,10737.42,7863.67,compute
IntelGaudi2B,BF16,128,512,512,5120,13824,8847360.0,2503.0,432.0,2.46,1066.9,21474.84,15669.79,compute
IntelGaudi2B,BF16,256,512,512,5120,13824,17694720.0,4871.0,432.0,2.46,2076.27,42949.67,31282.04,compute
IntelGaudi2B,BF16,512,512,512,5120,13824,35389440.0,9607.0,432.0,2.46,4094.99,85899.35,62506.54,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1024,1024,5120,13824,138240.0,172.0,432.0,2.46,73.32,335.54,301.49,compute
IntelGaudi2B,BF16,2,1024,1024,5120,13824,276480.0,209.0,432.0,2.46,89.09,671.09,545.43,compute
IntelGaudi2B,BF16,4,1024,1024,5120,13824,552960.0,283.0,432.0,2.46,120.63,1342.18,1033.31,compute
IntelGaudi2B,BF16,8,1024,1024,5120,13824,1105920.0,431.0,432.0,2.46,183.71,2684.35,2009.08,compute
IntelGaudi2B,BF16,16,1024,1024,5120,13824,2211840.0,727.0,432.0,2.46,309.88,5368.71,3960.61,compute
IntelGaudi2B,BF16,32,1024,1024,5120,13824,4423680.0,1319.0,432.0,2.46,562.22,10737.42,7863.67,compute
IntelGaudi2B,BF16,64,1024,1024,5120,13824,8847360.0,2503.0,432.0,2.46,1066.9,21474.84,15669.79,compute
IntelGaudi2B,BF16,128,1024,1024,5120,13824,17694720.0,4871.0,432.0,2.46,2076.27,42949.67,31282.04,compute
IntelGaudi2B,BF16,256,1024,1024,5120,13824,35389440.0,9607.0,432.0,2.46,4094.99,85899.35,62506.54,compute
IntelGaudi2B,BF16,512,1024,1024,5120,13824,70778880.0,19079.0,432.0,2.46,8132.43,171798.69,124955.54,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,2048,2048,5120,13824,276480.0,209.0,432.0,2.46,89.09,671.09,545.43,compute
IntelGaudi2B,BF16,2,2048,2048,5120,13824,552960.0,283.0,432.0,2.46,120.63,1342.18,1033.31,compute
IntelGaudi2B,BF16,4,2048,2048,5120,13824,1105920.0,431.0,432.0,2.46,183.71,2684.35,2009.08,compute
IntelGaudi2B,BF16,8,2048,2048,5120,13824,2211840.0,727.0,432.0,2.46,309.88,5368.71,3960.61,compute
IntelGaudi2B,BF16,16,2048,2048,5120,13824,4423680.0,1319.0,432.0,2.46,562.22,10737.42,7863.67,compute
IntelGaudi2B,BF16,32,2048,2048,5120,13824,8847360.0,2503.0,432.0,2.46,1066.9,21474.84,15669.79,compute
IntelGaudi2B,BF16,64,2048,2048,5120,13824,17694720.0,4871.0,432.0,2.46,2076.27,42949.67,31282.04,compute
IntelGaudi2B,BF16,128,2048,2048,5120,13824,35389440.0,9607.0,432.0,2.46,4094.99,85899.35,62506.54,compute
IntelGaudi2B,BF16,256,2048,2048,5120,13824,70778880.0,19079.0,432.0,2.46,8132.43,171798.69,124955.54,compute
IntelGaudi2B,BF16,512,2048,2048,5120,13824,141557760.0,38023.0,432.0,2.46,16207.32,343597.38,249853.54,compute
,,,,,,,,,,,,,,
