Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,48,128,1138.6,17.82,24.36,21.08,23.26,2063.63
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,56,128,1327.49,19.65,27.28,23.46,26.01,2153.02
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,60,128,1421.93,20.57,28.74,24.65,27.38,2191.38
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,64,128,1516.38,21.49,30.21,25.84,28.75,2226.09
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,96,128,2271.94,28.83,41.91,35.36,39.73,2416.31
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,112,128,2649.72,32.5,47.76,40.12,45.21,2477.33
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,128,128,3027.49,36.17,53.62,44.88,50.7,2524.65
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,256,128,6049.72,71.92,106.81,89.33,100.97,2535.41
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,512,128,12094.18,143.54,213.31,178.36,201.63,2539.3
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,1,128,55.35,7.21,7.21,7.21,7.59,131.75
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,4,128,205.6,8.44,8.44,8.44,9.99,400.4
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,16,128,806.62,13.38,13.38,13.38,19.58,817.16
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,24,128,1207.29,16.67,16.67,16.67,25.97,924.14
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,28,128,1407.63,18.31,18.31,18.31,29.17,959.89
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,32,128,1607.97,19.96,19.96,19.96,32.36,988.88
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,48,128,2409.32,26.54,26.54,26.54,45.15,1063.12
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,56,128,2810.0,29.83,29.83,29.83,51.55,1086.32
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,60,128,3010.33,31.47,31.47,31.47,54.74,1096.09
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,64,128,3210.67,33.11,33.11,33.11,57.94,1104.59
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,96,128,4813.38,46.27,46.27,46.27,83.51,1149.56
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,112,128,5614.73,52.85,52.85,52.85,96.3,1163.03
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,128,128,6416.08,59.43,59.43,59.43,109.09,1173.34
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,256,128,12826.9,118.43,118.43,118.43,217.72,1175.82
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,128,512,128,25648.53,236.56,236.56,236.56,435.09,1176.77
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,1,128,55.35,7.21,7.35,7.28,7.37,135.69
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,4,128,205.6,8.44,8.99,8.72,9.1,439.56
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,16,128,806.62,13.38,15.56,14.47,16.01,999.38
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,24,128,1207.29,16.67,19.94,18.3,20.62,1163.92
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,28,128,1407.63,18.31,22.13,20.22,22.93,1221.11
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,32,128,1607.97,19.96,24.32,22.13,25.23,1268.33
