Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,112,128,6247.84,46.77,46.77,46.77,95.22,1176.22
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,128,128,7140.01,52.97,52.97,52.97,108.34,1181.47
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,256,128,14277.39,105.72,105.72,105.72,216.44,1182.78
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,128,512,128,28552.15,211.29,211.29,211.29,432.7,1183.27
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,1,128,58.39,3.79,3.85,3.82,3.93,254.45
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,4,128,225.68,4.95,5.22,5.08,5.52,724.64
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,16,128,894.8,9.6,10.69,10.14,11.87,1347.94
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,24,128,1340.89,12.69,14.33,13.51,16.1,1490.68
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,28,128,1563.93,14.24,16.15,15.19,18.22,1536.77
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,32,128,1786.98,15.79,17.97,16.88,20.34,1573.25
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,48,128,2679.15,21.99,25.26,23.62,28.81,1666.09
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,56,128,3125.24,25.09,28.9,26.99,33.04,1694.92
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,60,128,3348.28,26.63,30.72,28.67,35.16,1706.48
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,64,128,3571.32,28.18,32.54,30.36,37.28,1716.74
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,96,128,5355.67,40.58,47.12,43.84,54.21,1770.89
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,112,128,6247.84,46.77,54.4,50.58,62.68,1786.85
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,128,128,7140.01,52.97,61.69,57.32,71.15,1799.02
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,256,128,14277.39,105.72,123.16,114.43,142.09,1801.67
Llama2-7B,IntelGaudi2C,1,1,FP8,2048,512,512,128,28552.15,211.29,246.17,228.7,284.02,1802.69
,,,,,,,,,,,,,,
