Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Llama2-13B,IntelGaudi2B,1,1,BF16,128,512,512,softmax,512,512,6.25,5.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,128,512,512,score@v,512,512,320.0,3.75,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,128,512,512,up(w1),512,512,8640.0,2.44,432.0,3534.7,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,128,512,512,down(w2),512,512,8640.0,2.44,432.0,3534.7,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,128,512,512,gate(w3),512,512,8640.0,2.44,432.0,3534.7,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,512,512,qkvo_proj,512,512,25600.0,10.2,432.0,2510.96,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,512,512,q@k_T,512,512,640.0,7.5,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,256,512,512,softmax,512,512,12.5,10.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,256,512,512,score@v,512,512,640.0,7.5,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,256,512,512,up(w1),512,512,17280.0,4.76,432.0,3632.67,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,512,512,down(w2),512,512,17280.0,4.76,432.0,3632.67,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,512,512,gate(w3),512,512,17280.0,4.76,432.0,3632.67,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,512,qkvo_proj,512,512,51200.0,20.2,432.0,2535.24,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,512,q@k_T,512,512,1280.0,15.0,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,512,softmax,512,512,25.0,20.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,512,score@v,512,512,1280.0,15.0,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,512,up(w1),512,512,34560.0,9.38,432.0,3683.71,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,512,down(w2),512,512,34560.0,9.38,432.0,3683.71,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,512,gate(w3),512,512,34560.0,9.38,432.0,3683.71,compute
,,,,,,,,,,,,,,,
Llama2-13B,IntelGaudi2B,1,1,BF16,1,1024,512,qkvo_proj,1024,1024,200.0,0.27,432.0,731.43,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,1,1024,512,q@k_T,1024,1024,10.0,0.1,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,1,1024,512,softmax,1024,1024,0.2,0.16,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,1,1024,512,score@v,1024,1024,10.0,0.1,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,1,1024,512,up(w1),1024,1024,135.0,0.17,432.0,803.72,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,1,1024,512,down(w2),1024,1024,135.0,0.17,432.0,803.72,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,1,1024,512,gate(w3),1024,1024,135.0,0.17,432.0,803.72,compute
