Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,128,qkvo_proj,128,128,1024.0,0.62,280.8,1638.4,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,128,q@k_T,128,128,8.0,0.14,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,128,softmax,128,128,0.16,0.12,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,128,score@v,128,128,8.0,0.14,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,128,up(w1),128,128,896.0,0.39,280.8,2293.76,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,128,down(w2),128,128,896.0,0.39,280.8,2293.76,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,128,gate(w3),128,128,896.0,0.39,280.8,2293.76,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,128,qkvo_proj,128,128,2048.0,1.12,280.8,1820.44,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,128,q@k_T,128,128,16.0,0.28,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,128,softmax,128,128,0.31,0.25,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,128,score@v,128,128,16.0,0.28,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,128,up(w1),128,128,1792.0,0.67,280.8,2667.16,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,128,down(w2),128,128,1792.0,0.67,280.8,2667.16,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,128,gate(w3),128,128,1792.0,0.67,280.8,2667.16,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,128,qkvo_proj,128,128,4096.0,2.12,280.8,1927.53,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,128,q@k_T,128,128,32.0,0.56,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,128,softmax,128,128,0.62,0.5,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,128,score@v,128,128,32.0,0.56,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,128,up(w1),128,128,3584.0,1.23,280.8,2903.49,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,128,down(w2),128,128,3584.0,1.23,280.8,2903.49,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,128,gate(w3),128,128,3584.0,1.23,280.8,2903.49,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,128,qkvo_proj,128,128,8192.0,4.12,280.8,1985.94,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,128,q@k_T,128,128,64.0,1.12,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,128,softmax,128,128,1.25,1.0,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,128,score@v,128,128,64.0,1.12,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,128,up(w1),128,128,7168.0,2.36,280.8,3038.09,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,128,down(w2),128,128,7168.0,2.36,280.8,3038.09,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,128,gate(w3),128,128,7168.0,2.36,280.8,3038.09,compute
,,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,512,qkvo_proj,128,128,16.0,0.13,280.8,120.47,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,512,q@k_T,128,128,0.12,0.0,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,512,softmax,128,128,0.0,0.0,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,512,score@v,128,128,0.12,0.0,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,512,up(w1),128,128,14.0,0.11,280.8,123.06,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,512,down(w2),128,128,14.0,0.11,280.8,123.06,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,512,gate(w3),128,128,14.0,0.11,280.8,123.06,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,128,512,qkvo_proj,128,128,32.0,0.14,280.8,227.56,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,128,512,q@k_T,128,128,0.25,0.0,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,128,512,softmax,128,128,0.0,0.0,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,128,512,score@v,128,128,0.25,0.0,280.8,56.89,memory
