Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,32,8,1024,1024,128,16384.0,148.0,280.8,1.5,103.42,61.18,103.42,memory
IntelGaudi2C,BF16,2,32,8,1024,1024,128,32768.0,296.0,280.8,1.5,206.84,122.36,206.84,memory
IntelGaudi2C,BF16,4,32,8,1024,1024,128,65536.0,592.0,280.8,1.5,413.67,244.73,413.67,memory
IntelGaudi2C,BF16,8,32,8,1024,1024,128,131072.0,1184.0,280.8,1.5,827.35,489.45,827.35,memory
IntelGaudi2C,BF16,16,32,8,1024,1024,128,262144.0,2368.0,280.8,1.5,1654.69,978.91,1654.69,memory
IntelGaudi2C,BF16,32,32,8,1024,1024,128,524288.0,4736.0,280.8,1.5,3309.38,1957.82,3309.38,memory
IntelGaudi2C,BF16,64,32,8,1024,1024,128,1048576.0,9472.0,280.8,1.5,6618.76,3915.64,6618.76,memory
IntelGaudi2C,BF16,128,32,8,1024,1024,128,2097152.0,18944.0,280.8,1.5,13237.52,7831.28,13237.52,memory
IntelGaudi2C,BF16,256,32,8,1024,1024,128,4194304.0,37888.0,280.8,1.5,26475.04,15662.56,26475.04,memory
IntelGaudi2C,BF16,512,32,8,1024,1024,128,8388608.0,75776.0,280.8,1.5,52950.08,31325.12,52950.08,memory
,,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,32,8,2048,2048,128,65536.0,552.0,280.8,1.5,385.72,244.73,385.72,memory
IntelGaudi2C,BF16,2,32,8,2048,2048,128,131072.0,1104.0,280.8,1.5,771.44,489.45,771.44,memory
IntelGaudi2C,BF16,4,32,8,2048,2048,128,262144.0,2208.0,280.8,1.5,1542.89,978.91,1542.89,memory
IntelGaudi2C,BF16,8,32,8,2048,2048,128,524288.0,4416.0,280.8,1.5,3085.77,1957.82,3085.77,memory
IntelGaudi2C,BF16,16,32,8,2048,2048,128,1048576.0,8832.0,280.8,1.5,6171.55,3915.64,6171.55,memory
IntelGaudi2C,BF16,32,32,8,2048,2048,128,2097152.0,17664.0,280.8,1.5,12343.09,7831.28,12343.09,memory
IntelGaudi2C,BF16,64,32,8,2048,2048,128,4194304.0,35328.0,280.8,1.5,24686.19,15662.56,24686.19,memory
IntelGaudi2C,BF16,128,32,8,2048,2048,128,8388608.0,70656.0,280.8,1.5,49372.37,31325.12,49372.37,memory
IntelGaudi2C,BF16,256,32,8,2048,2048,128,16777216.0,141312.0,280.8,1.5,98744.75,62650.24,98744.75,memory
IntelGaudi2C,BF16,512,32,8,2048,2048,128,33554432.0,282624.0,280.8,1.5,197489.5,125300.47,197489.5,memory
,,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,32,8,2048,2048,128,65536.0,552.0,280.8,1.5,385.72,244.73,385.72,memory
IntelGaudi2C,BF16,2,32,8,2048,2048,128,131072.0,1104.0,280.8,1.5,771.44,489.45,771.44,memory
IntelGaudi2C,BF16,4,32,8,2048,2048,128,262144.0,2208.0,280.8,1.5,1542.89,978.91,1542.89,memory
IntelGaudi2C,BF16,8,32,8,2048,2048,128,524288.0,4416.0,280.8,1.5,3085.77,1957.82,3085.77,memory
IntelGaudi2C,BF16,16,32,8,2048,2048,128,1048576.0,8832.0,280.8,1.5,6171.55,3915.64,6171.55,memory
IntelGaudi2C,BF16,32,32,8,2048,2048,128,2097152.0,17664.0,280.8,1.5,12343.09,7831.28,12343.09,memory
IntelGaudi2C,BF16,64,32,8,2048,2048,128,4194304.0,35328.0,280.8,1.5,24686.19,15662.56,24686.19,memory
IntelGaudi2C,BF16,128,32,8,2048,2048,128,8388608.0,70656.0,280.8,1.5,49372.37,31325.12,49372.37,memory
IntelGaudi2C,BF16,256,32,8,2048,2048,128,16777216.0,141312.0,280.8,1.5,98744.75,62650.24,98744.75,memory
IntelGaudi2C,BF16,512,32,8,2048,2048,128,33554432.0,282624.0,280.8,1.5,197489.5,125300.47,197489.5,memory
,,,,,,,,,,,,,,,
