Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
IntelGaudi2C,BF16,4,1,128,4096,14336,448.0,112.14,8.78,2.46,47.8,53.53,61.72,compute
