Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Qwen-14B,IntelGaudi2B,1,1,BF16,1,512,512,qkvo_proj,512,512,100.0,0.23,432.0,426.67,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,1,512,512,q@k_T,512,512,2.5,0.03,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,1,512,512,softmax,512,512,0.05,0.04,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,1,512,512,score@v,512,512,2.5,0.03,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,1,512,512,up(w1),512,512,66.88,0.15,432.0,450.16,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,1,512,512,down(w2),512,512,66.88,0.15,432.0,450.16,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,1,512,512,gate(w3),512,512,66.88,0.15,432.0,450.16,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,512,512,qkvo_proj,512,512,200.0,0.27,432.0,731.43,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,512,512,q@k_T,512,512,5.0,0.06,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,2,512,512,softmax,512,512,0.1,0.08,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,2,512,512,score@v,512,512,5.0,0.06,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,2,512,512,up(w1),512,512,133.75,0.17,432.0,803.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,512,512,down(w2),512,512,133.75,0.17,432.0,803.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,512,512,gate(w3),512,512,133.75,0.17,432.0,803.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,512,512,qkvo_proj,512,512,400.0,0.35,432.0,1137.78,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,512,512,q@k_T,512,512,10.0,0.12,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,4,512,512,softmax,512,512,0.2,0.16,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,4,512,512,score@v,512,512,10.0,0.12,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,4,512,512,up(w1),512,512,267.5,0.2,432.0,1321.69,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,512,512,down(w2),512,512,267.5,0.2,432.0,1321.69,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,512,512,gate(w3),512,512,267.5,0.2,432.0,1321.69,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,512,512,qkvo_proj,512,512,800.0,0.51,432.0,1575.38,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,512,512,q@k_T,512,512,20.0,0.23,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,8,512,512,softmax,512,512,0.39,0.31,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,8,512,512,score@v,512,512,20.0,0.23,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,8,512,512,up(w1),512,512,535.0,0.27,432.0,1951.34,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,512,512,down(w2),512,512,535.0,0.27,432.0,1951.34,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,512,512,gate(w3),512,512,535.0,0.27,432.0,1951.34,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,512,512,qkvo_proj,512,512,1600.0,0.82,432.0,1950.48,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,512,512,q@k_T,512,512,40.0,0.47,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,16,512,512,softmax,512,512,0.78,0.62,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,16,512,512,score@v,512,512,40.0,0.47,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,16,512,512,up(w1),512,512,1070.0,0.42,432.0,2561.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,512,512,down(w2),512,512,1070.0,0.42,432.0,2561.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,512,512,gate(w3),512,512,1070.0,0.42,432.0,2561.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,512,512,qkvo_proj,512,512,3200.0,1.45,432.0,2214.05,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,512,512,q@k_T,512,512,80.0,0.94,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,32,512,512,softmax,512,512,1.56,1.25,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,32,512,512,score@v,512,512,80.0,0.94,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,32,512,512,up(w1),512,512,2140.0,0.7,432.0,3036.18,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,512,512,down(w2),512,512,2140.0,0.7,432.0,3036.18,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,512,512,gate(w3),512,512,2140.0,0.7,432.0,3036.18,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,512,512,qkvo_proj,512,512,6400.0,2.7,432.0,2374.49,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,512,512,q@k_T,512,512,160.0,1.88,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,64,512,512,softmax,512,512,3.12,2.5,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,64,512,512,score@v,512,512,160.0,1.88,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,64,512,512,up(w1),512,512,4280.0,1.28,432.0,3346.23,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,512,512,down(w2),512,512,4280.0,1.28,432.0,3346.23,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,512,512,gate(w3),512,512,4280.0,1.28,432.0,3346.23,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,512,512,qkvo_proj,512,512,12800.0,5.2,432.0,2463.76,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,512,512,q@k_T,512,512,320.0,3.75,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,128,512,512,softmax,512,512,6.25,5.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,128,512,512,score@v,512,512,320.0,3.75,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,128,512,512,up(w1),512,512,8560.0,2.43,432.0,3526.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,512,512,down(w2),512,512,8560.0,2.43,432.0,3526.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,512,512,gate(w3),512,512,8560.0,2.43,432.0,3526.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,512,512,qkvo_proj,512,512,25600.0,10.2,432.0,2510.96,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,512,512,q@k_T,512,512,640.0,7.5,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,256,512,512,softmax,512,512,12.5,10.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,256,512,512,score@v,512,512,640.0,7.5,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,256,512,512,up(w1),512,512,17120.0,4.72,432.0,3623.77,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,512,512,down(w2),512,512,17120.0,4.72,432.0,3623.77,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,512,512,gate(w3),512,512,17120.0,4.72,432.0,3623.77,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,512,512,qkvo_proj,512,512,51200.0,20.2,432.0,2535.24,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,512,512,q@k_T,512,512,1280.0,15.0,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,512,512,512,softmax,512,512,25.0,20.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,512,512,512,score@v,512,512,1280.0,15.0,432.0,85.33,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,512,512,512,up(w1),512,512,34240.0,9.32,432.0,3674.56,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,512,512,down(w2),512,512,34240.0,9.32,432.0,3674.56,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,512,512,gate(w3),512,512,34240.0,9.32,432.0,3674.56,compute
,,,,,,,,,,,,,,,
Qwen-14B,IntelGaudi2B,1,1,BF16,1,1024,512,qkvo_proj,1024,1024,200.0,0.27,432.0,731.43,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,1,1024,512,q@k_T,1024,1024,10.0,0.1,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,1,1024,512,softmax,1024,1024,0.2,0.16,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,1,1024,512,score@v,1024,1024,10.0,0.1,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,1,1024,512,up(w1),1024,1024,133.75,0.17,432.0,803.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,1,1024,512,down(w2),1024,1024,133.75,0.17,432.0,803.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,1,1024,512,gate(w3),1024,1024,133.75,0.17,432.0,803.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,1024,512,qkvo_proj,1024,1024,400.0,0.35,432.0,1137.78,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,1024,512,q@k_T,1024,1024,20.0,0.2,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,2,1024,512,softmax,1024,1024,0.39,0.31,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,2,1024,512,score@v,1024,1024,20.0,0.2,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,2,1024,512,up(w1),1024,1024,267.5,0.2,432.0,1321.69,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,1024,512,down(w2),1024,1024,267.5,0.2,432.0,1321.69,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,1024,512,gate(w3),1024,1024,267.5,0.2,432.0,1321.69,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,1024,512,qkvo_proj,1024,1024,800.0,0.51,432.0,1575.38,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,1024,512,q@k_T,1024,1024,40.0,0.39,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,4,1024,512,softmax,1024,1024,0.78,0.62,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,4,1024,512,score@v,1024,1024,40.0,0.39,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,4,1024,512,up(w1),1024,1024,535.0,0.27,432.0,1951.34,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,1024,512,down(w2),1024,1024,535.0,0.27,432.0,1951.34,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,1024,512,gate(w3),1024,1024,535.0,0.27,432.0,1951.34,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,1024,512,qkvo_proj,1024,1024,1600.0,0.82,432.0,1950.48,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,1024,512,q@k_T,1024,1024,80.0,0.78,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,8,1024,512,softmax,1024,1024,1.56,1.25,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,8,1024,512,score@v,1024,1024,80.0,0.78,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,8,1024,512,up(w1),1024,1024,1070.0,0.42,432.0,2561.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,1024,512,down(w2),1024,1024,1070.0,0.42,432.0,2561.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,1024,512,gate(w3),1024,1024,1070.0,0.42,432.0,2561.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,1024,512,qkvo_proj,1024,1024,3200.0,1.45,432.0,2214.05,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,1024,512,q@k_T,1024,1024,160.0,1.56,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,16,1024,512,softmax,1024,1024,3.12,2.5,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,16,1024,512,score@v,1024,1024,160.0,1.56,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,16,1024,512,up(w1),1024,1024,2140.0,0.7,432.0,3036.18,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,1024,512,down(w2),1024,1024,2140.0,0.7,432.0,3036.18,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,1024,512,gate(w3),1024,1024,2140.0,0.7,432.0,3036.18,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,1024,512,qkvo_proj,1024,1024,6400.0,2.7,432.0,2374.49,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,1024,512,q@k_T,1024,1024,320.0,3.12,432.0,102.4,memory
